City_ID,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
1850523,Tateyama,JP,1612983864,34.9833,139.8667,20,57,44.6,10.36
3533462,Acapulco de Juárez,MX,1612983864,16.8634,-99.8901,1,65,84.2,8.05
2138555,Poum,NC,1612983831,-20.2333,164.0167,0,75,78.64,15.64
5666176,Miles City,US,1612983864,46.4083,-105.8406,40,54,-5.8,8.05
3416888,Grindavik,IS,1612983865,63.8424,-22.4338,75,80,35.6,11.5
2654970,Brae,GB,1612983865,60.3964,-1.353,20,75,33.8,5.75
1175712,Jiwani,PK,1612983865,25.05,61.7417,100,51,71.87,7.67
1784310,Zhongshu,CN,1612983677,24.5167,103.7667,0,89,41.86,1.74
4845585,Westport,US,1612983865,41.1415,-73.3579,1,55,33.01,8.05
2460954,Araouane,ML,1612983866,18.9048,-3.5265,36,15,76.39,8.52
2123628,Magadan,RU,1612983866,59.5667,150.8,99,91,15.78,20.04
2122090,Pevek,RU,1612983866,69.7008,170.3133,0,70,-12.57,1.3
3685223,Dibulla,CO,1612983866,11.2725,-73.3091,2,47,86.83,12.46
1816751,Beidao,CN,1612983866,34.5686,105.8933,93,66,43.54,2.91
945945,Upington,ZA,1612983730,-28.4478,21.2561,75,68,73.4,28.77
3530599,Ciudad del Carmen,MX,1612983593,18.6333,-91.8333,40,65,84.2,11.5
64814,Bandarbeyla,SO,1612983867,9.4942,50.8122,88,67,75.18,20.13
5882953,Aklavik,CA,1612983809,68.2191,-135.0107,0,68,-29.2,4.61
1274342,Chhātāpur,IN,1612983569,26.2167,87.0167,0,56,60.58,5.12
3036281,Auch,FR,1612983868,43.65,0.5833,88,92,48.0,11.81
88834,Tūkrah,LY,1612983868,32.5341,20.5791,0,42,61.68,9.33
1644605,Galesong,ID,1612983868,-5.3166,119.3661,20,100,73.4,2.3
1899102,Nagato,JP,1612983869,34.3833,131.2,0,53,50.0,3.44
1712961,Gigmoto,PH,1612983869,13.7796,124.39,30,84,77.86,8.12
237379,Ndélé,CF,1612983869,8.4109,20.6473,90,18,76.78,4.56
1489656,Teya,RU,1612983870,60.3778,92.6267,98,86,-10.3,4.61
1486321,Yar-Sale,RU,1612983821,66.8333,70.8333,100,85,-23.15,13.47
6113406,Prince Rupert,CA,1612983626,54.3161,-130.3201,1,57,17.6,4.61
3530691,Chunhuhub,MX,1612983870,19.55,-88.6833,0,42,89.13,6.17
5380437,Pacific Grove,US,1612983776,36.6177,-121.9166,75,87,57.0,6.91
2449893,Tessalit,ML,1612983853,20.1986,1.0114,0,16,76.15,9.42
